Normale X,Normale Y,Normale Z,S1 X,S1 Y,S1 Z,S2 X,S2 Y,S2 Z,S3 X,S3 Y,S3 Z
-1297.5673,544.929,1142.0447,-255.6518,85.51473,-139.6599,-214.7396,109.7288,-104.7301,-240.0511,122.6626,-139.6599
-1429.2087,600.21344,961.44226,-255.6518,85.51473,-139.6599,-240.0511,122.6626,-139.6599,-264.763,125.4476,-178.1334
-59.63567,15.100309,295.25385,-44.25663,7.742716,-3.072789,-42.60833,14.25235,-3.072789,-87.68906,15.34124,-12.23393
-118.16077,29.919365,585.0093,-87.68906,15.34124,-12.23393,-42.60833,14.25235,-3.072789,-84.42316,28.23928,-12.23393
-194.48814,49.246143,563.0138,-87.68906,15.34124,-12.23393,-84.42316,28.23928,-12.23393,-129.4885,22.65406,-27.31282
-287.19632,72.720856,831.3899,-129.4885,22.65406,-27.31282,-84.42316,28.23928,-12.23393,-124.6658,41.70031,-27.31282
-394.5587,99.90604,783.42487,-129.4885,22.65406,-27.31282,-124.6658,41.70031,-27.31282,-168.8764,29.545,-48.02864
-514.57605,130.29637,1021.7275,-168.8764,29.545,-48.02864,-124.6658,41.70031,-27.31282,-162.5867,54.38476,-48.02864
-645.0134,163.32455,940.1486,-168.8764,29.545,-48.02864,-162.5867,54.38476,-48.02864,-205.1194,35.88572,-73.99561
-783.44116,198.37457,1141.917,-205.1194,35.88572,-73.99561,-162.5867,54.38476,-48.02864,-197.4799,66.0564,-73.99561
-927.28033,234.796,1021.55853,-205.1194,35.88572,-73.99561,-197.4799,66.0564,-73.99561,-237.5424,41.55815,-104.7301
-1073.8545,271.91132,1183.0339,-237.5424,41.55815,-104.7301,-197.4799,66.0564,-73.99561,-228.6953,76.49787,-104.7301
-1220.4373,309.02762,1021.6246,-237.5424,41.55815,-104.7301,-228.6953,76.49787,-104.7301,-265.5417,46.45664,-139.6599
-1364.2911,345.4519,1142.0452,-265.5417,46.45664,-139.6599,-228.6953,76.49787,-104.7301,-255.6518,85.51473,-139.6599
-1502.702,380.4989,965.07336,-265.5417,46.45664,-139.6599,-255.6518,85.51473,-139.6599,-281.1276,82.48509,-178.1334
-61.22019,6.0434155,295.254,-44.91631,1.060121,-3.072789,-44.25663,7.742716,-3.072789,-88.99615,2.1005,-12.23393
-121.30028,11.9744425,585.0094,-88.99615,2.1005,-12.23393,-44.25663,7.742716,-3.072789,-87.68906,15.34124,-12.23393
-199.65567,19.709478,563.0133,-88.99615,2.1005,-12.23393,-87.68906,15.34124,-12.23393,-131.4186,3.101761,-27.31282
-294.827,29.10376,831.3896,-131.4186,3.101761,-27.31282,-87.68906,15.34124,-12.23393,-129.4885,22.65406,-27.31282
-405.04193,39.983593,783.42645,-131.4186,3.101761,-27.31282,-129.4885,22.65406,-27.31282,-171.3937,4.045259,-48.02864
-528.24805,52.148006,1021.728,-171.3937,4.045259,-48.02864,-129.4885,22.65406,-27.31282,-168.8764,29.545,-48.02864
-662.15106,65.36675,940.14716,-171.3937,4.045259,-48.02864,-168.8764,29.545,-48.02864,-208.1769,4.913421,-73.99561
-804.2568,79.39389,1141.9156,-208.1769,4.913421,-73.99561,-168.8764,29.545,-48.02864,-205.1194,35.88572,-73.99561
